id,price,bedrooms,property_type,latitude,longitude
9217030,150.0,2,Entire home/apt,47.65411,-122.35252
9233533,128.0,2,Entire home/apt,47.72171,-122.30767
9234966,135.0,2,Entire home/apt,47.68793,-122.33807
9262389,121.0,2,Entire home/apt,47.65981,-122.35983
9303743,450.0,2,Entire home/apt,47.60266,-122.298
9364302,456.0,2,Entire home/apt,47.56094,-122.27066
9367465,110.0,2,Entire home/apt,47.66314,-122.36185
9368342,145.0,2,Entire home/apt,47.63793,-122.36792
9407255,180.0,2,Entire home/apt,47.60404,-122.29423
9435521,122.0,1,Private room,47.56912,-122.35872
9448215,72.0,1,Private room,47.60962,-122.31315
9512909,125.0,2,Entire home/apt,47.60185,-122.29011
9522082,119.0,2,Entire home/apt,47.62803,-122.34981
9579441,196.0,2,Entire home/apt,47.62334,-122.31493
9580021,145.0,2,Entire home/apt,47.62335,-122.31697
9587410,165.0,2,Entire home/apt,47.67271,-122.36687
9694921,297.0,2,Entire home/apt,47.6381,-122.34262
9696950,,1,Private room,47.62286,-122.29817
9813185,102.0,2,Entire home/apt,47.66304,-122.31285
9823290,81.0,1,Private room,47.58649,-122.29296
9883227,162.0,2,Entire home/apt,47.66945,-122.32785
9887142,135.0,2,Entire home/apt,47.683992,-122.298957
9907337,162.0,2,Entire home/apt,47.67501,-122.33453
9974658,222.0,1,Private room,47.61957,-122.28741
10054747,148.0,2,Entire home/apt,47.64676,-122.39144
10125020,176.0,2,Entire home/apt,47.6017,-122.3332
10263907,134.0,2,Entire home/apt,47.54277,-122.27992
10280132,120.0,2,Entire home/apt,47.66178,-122.34871
10295151,165.0,2,Entire home/apt,47.62323,-122.32613
10332096,64.0,1,Private room,47.72865,-122.29914
10332360,133.0,2,Entire home/apt,47.56939,-122.38773
10344631,120.0,1,Private room,47.693527,-122.342133
10459203,125.0,2,Entire home/apt,47.66982,-122.29475
10497998,162.0,2,Entire home/apt,47.62194,-122.29627
10552175,360.0,2,Entire home/apt,47.6684,-122.3059
10569919,563.0,2,Entire home/apt,47.6069,-122.33823
10599859,97.0,2,Entire home/apt,47.57894,-122.41211
10677610,162.0,2,Entire home/apt,47.613,-122.34735
10773688,291.0,2,Entire home/apt,47.58762,-122.31519
10790541,47.0,1,Private room,47.55398,-122.35535
10814218,165.0,2,Entire home/apt,47.62193,-122.32563
10834487,75.0,1,Private room,47.61179,-122.3135
10835493,59.0,1,Private room,47.67368,-122.36284
10880656,119.0,2,Entire home/apt,47.66386,-122.36015
10949926,193.0,2,Entire home/apt,47.63859,-122.36496
10969868,1000.0,2,Entire home/apt,47.66126,-122.35059
11022927,,2,Entire home/apt,47.66417,-122.28776
11047227,165.0,2,Entire home/apt,47.61539,-122.28628
11069945,125.0,2,Entire home/apt,47.65747,-122.31896
11128182,121.0,1,Private room,47.6097,-122.29442
11149363,137.0,2,Entire home/apt,47.67053,-122.35004
11227336,,2,Entire home/apt,47.55680086188952,-122.36426907232408
